Fecha,Equipo,Sucursal,Responsable,Tipo_Mantenimiento,Cantidad (lts),Observaciones
13-08-2025 10:16:43,Paila,Esc. Militar,Nelson,Relleno,3,
12-08-2025 10:25:57,Paila,Esc. Militar,Nelson,Relleno,3,
11-08-2025 18:40:30,Paila,Plaza Egaña,David,Relleno,5,
11-08-2025 10:13:47,Freidora,Costanera,Luis,Relleno,5,
11-08-2025 9:54:58,Paila,Esc. Militar,Nelson,Relleno,3,
10-08-2025 20:08:06,Freidora,MUT,Barbara Orrego,Filtrado,45,Se dejó limpio y sin aceite (freidora izquierda)
10-08-2025 11:52:52,Paila,Esc. Militar,Almendra,Cambio,7,
10-08-2025 10:50:12,Paila,Plaza Egaña,Patricio,Cambio,8,
09-08-2025 16:44:20,Paila,Esc. Militar,Almendra,Relleno,2,
09-08-2025 12:48:43,Paila,Plaza Egaña,Patricio,Relleno,4,
09-08-2025 10:53:33,Paila,Esc. Militar,Almendra,Relleno,2,
08-08-2025 10:04:42,Paila,Esc. Militar,Nelson,Relleno,6,
08-08-2025 9:10:00,Freidora,Costanera,Luis,Relleno,5,
07-08-2025 12:00:00,Paila,Plaza Egaña,David,Cambio,7,
07-08-2025 10:53:19,Paila,Esc. Militar,Nelson,Relleno,3,
06-08-2025 15:12:06,Freidora,Costanera,Jessica,Relleno,5,
06-08-2025 11:20:33,Freidora,MUT,Cristobal,Filtrado,40,
06-08-2025 10:09:38,Paila,Esc. Militar,Nelson,Cambio,8,
05-08-2025 13:21:32,Paila,Plaza Egaña,David,Relleno,5,
04-08-2025 11:46:16,Paila,Esc. Militar,Nelson,Relleno,3,
03-08-2025 20:03:02,Paila,Esc. Militar,Almendra,Cambio,10,
03-08-2025 12:08:00,Paila,Plaza Egaña,Patricio Monroy,Relleno,6,
02-08-2025 22:02:11,Paila,Plaza Egaña,Patricio Monroy,Cambio,7,Exceso de mermas ensuciaron demasiado el aceite
02-08-2025 12:00:00,Paila,Plaza Egaña,Patricio Monroy,Relleno,7,
02-08-2025 11:35:04,Freidora,Costanera,Matias,Cambio,46,
31-07-2025 12:03:00,Paila,Plaza Egaña,David,Cambio,7,
30-07-2025 11:36:43,Freidora,MUT,Cristobal,Filtrado,40,
29-07-2025 12:09:00,Paila,Plaza Egaña,David,Relleno,3,
27-07-2025 10:55:18,Freidora,Costanera,Matias,Relleno,5,
27-07-2025 10:02:05,Paila,Esc. Militar,,Relleno,2,
26-07-2025 12:10:18,Freidora,Costanera,Matias,Cambio,42,
26-07-2025 10:24:11,Paila,Esc. Militar,Almendra,Cambio,15,
24-07-2025 11:26:48,Freidora,MUT,Cristobal,Filtrado,35,
23-07-2025 12:36:03,Paila,Plaza Egaña,David,Cambio,7,
20-07-2025 11:07:40,,Costanera,Matias,Relleno,5,
20-07-2025 10:09:29,Paila,Esc. Militar,Matias,Relleno,3,
19-07-2025 11:12:26,Freidora,Costanera,Matias Caviedes,Relleno,3,
14-07-2025 15:29:02,Paila,Esc. Militar,Luis,Relleno,3,
13-08-2025 13:12:21,Freidora,MUT,Luis,Filtrado,40,
13-08-2025 13:25:01,Paila,Plaza Egaña,David,Relleno,2,
14-08-2025 9:50:18,Paila,Esc. Militar,Nelson,Relleno,3,
14-08-2025 16:32:15,Paila,Esc. Militar,Nelson,Relleno,2,
15-08-2025 10:10:42,Paila,Esc. Militar,Nelson,Relleno,3,
16-08-2025 10:01:19,Paila,Esc. Militar,Almendra,Cambio,8,
16-08-2025 10:25:30,Freidora,Costanera,Matias,Cambio,29,
16-08-2025 12:26:50,Paila,Plaza Egaña,Patricio,Relleno,3,
17-08-2025 11:34:41,Paila,Plaza Egaña,Patricio,Relleno,4,
17-08-2025 9:56:18,Freidora,Costanera,Matias,Relleno,7,
17-08-2025 20:16:53,Freidora,MUT,Barbara Orrego,Filtrado,45,Freidora derecha limpia y filtrada
19-08-2025 13:02:13,Paila,Plaza Egaña,David,Cambio,10,
20-08-2025 11:34:48,Paila,Esc. Militar,Nelson,Relleno,3,
20-08-2025 12:21:30,Freidora,MUT,Paula,Filtrado,40,
21-08-2025 10:32:20,Paila,Esc. Militar,Nelson,Relleno,3,
22-08-2025 10:51:58,Paila,Esc. Militar,Barbara,Relleno,3,
22-08-2025 12:46:04,Paila,Plaza Egaña,David,Relleno,3,
22-08-2025 14:18:51,Paila,Esc. Militar,Barbara,Relleno,3,
23-08-2025 10:53:46,Paila,Esc. Militar,Almendra,Relleno,2,
23-08-2025 12:17:26,Freidora,Costanera,Matias,Relleno,10,
23-08-2025 12:52:08,Paila,Plaza Egaña,Patricio,Relleno,3,
24-08-2025 11:02:59,Freidora,MUT,Barbara,Filtrado,45,
24-08-2025 11:08:02,Paila,Esc. Militar,Almendra,Relleno,5,
24-08-2025 11:18:10,Paila,Plaza Egaña,Patricio,Cambio,8,
