Fecha,Sucursal,Producto,Cantidad,Lote,Elaboracion,Vencimiento,Temperatura,Respaldo,Daño Envase,Limpio,Recepcion,Responsable,email
08/08/2025 12:11:39,MUT,Quesos,2,1,04/08/2025,01/01/2026,7,Recepcion_Mercaderia_Images/08-08-2025 12-11-39.Respaldo.161403.jpg,No,Si,Aceptado,Matia Bello,huente.mut@gmail.com
08/08/2025 12:14:22,MUT,Empanadas,12,1,04/08/2025,09/08/2025,5.6,Recepcion_Mercaderia_Images/08-08-2025 12-14-22.Respaldo.161611.jpg,No,Si,Aceptado,Matia Bello,huente.mut@gmail.com
09/08/2025 12:12:12,Esc. Militar,Empanadas,312,1,05/08/2025,09/08/2025,5.8,Recepcion_Mercaderia_Images/08-09-2025 12-12-12.Respaldo.161512.jpg,No,Si,Aceptado,Almendra,huente.escuelamilitar@gmail.com
09/08/2025 12:15:49,Esc. Militar,Quesos,32,1,28/07/2025,25/12/2025,7.7,Recepcion_Mercaderia_Images/08-09-2025 12-15-49.Respaldo.163751.jpg,No,Si,Aceptado,Almendra,huente.escuelamilitar@gmail.com
11/08/2025 11:44:51,MUT,Empanadas,8,1,05/08/2025,09/08/2025,5.3,Recepcion_Mercaderia_Images/08-11-2025 11-44-51.Respaldo.154921.jpg,No,Si,Aceptado,Paula,huente.mut@gmail.com
11/08/2025 11:56:45,MUT,Quesos,4,1,28/07/2025,25/12/2025,6.3,Recepcion_Mercaderia_Images/08-11-2025 11-56-45.Respaldo.155855.jpg,No,Si,Aceptado,Paula,huente.mut@gmail.com
11/08/2025 12:22:24,Esc. Militar,Empanadas,1,1,05/08/2025,09/08/2025,7.2,Recepcion_Mercaderia_Images/08-11-2025 12-22-24.Respaldo.162425.jpg,No,Si,Aceptado,Alejandra,huente.escuelamilitar@gmail.com
11/08/2025 14:28:24,MUT,Empanadas,1,1,05/08/2025,09/08/2025,5.6,Recepcion_Mercaderia_Images/08-11-2025 14-28-24.Respaldo.182907.jpg,No,Si,Aceptado,Paula,huente.mut@gmail.com
13/08/2025 12:02:53,MUT,Quesos,6,1,11/08/2025,08/01/2026,7.4,Recepcion_Mercaderia_Images/08-13-2025 12-02-53.Respaldo.160415.jpg,No,Si,Aceptado,Paula,huente.mut@gmail.com
13/08/2025 12:17:05,MUT,Empanadas,12,1,12/08/2025,21/08/2025,10.1,Recepcion_Mercaderia_Images/08-13-2025 12-17-05.Respaldo.161850.jpg,No,Si,Aceptado,Paula,huente.mut@gmail.com
13/08/2025 13:47:31,Esc. Militar,Empanadas,5,1,12/08/2025,16/08/2025,11.8,Recepcion_Mercaderia_Images/08-13-2025 13-47-31.Respaldo.174906.jpg,No,Si,Aceptado,Alejandra,huente.escuelamilitar@gmail.com
13/08/2025 17:06:54,Esc. Militar,Quesos,1,1,28/07/2025,25/12/2025,6.9,Recepcion_Mercaderia_Images/08-13-2025 17-06-54.Respaldo.210856.jpg,No,Si,Aceptado,Alejandra,huente.escuelamilitar@gmail.com
15/08/2025 11:31:07,Esc. Militar,Quesos,1,1,28/07/2025,25/12/2025,8.8,Recepcion_Mercaderia_Images/08-15-2025 11-31-07.Respaldo.153245.jpg,No,Si,Aceptado,Alejandra,huente.escuelamilitar@gmail.com
15/08/2025 11:34:42,Esc. Militar,Empanadas,3,1,12/08/2025,16/08/2025,8.7,Recepcion_Mercaderia_Images/08-15-2025 11-34-42.Respaldo.153956.jpg,No,Si,Aceptado,Alejandra,huente.escuelamilitar@gmail.com
15/08/2025 12:12:41,MUT,Empanadas,9,1,12/08/2025,16/08/2025,6.8,Recepcion_Mercaderia_Images/08-15-2025 12-12-41.Respaldo.161428.jpg,No,Si,Aceptado,Paula,huente.mut@gmail.com
