Sucursal,Equipo,Fecha,Temperatura C°,Observaciones,Responsable,email
Plaza Egaña,EGA004,13-08-2025 21:33:55,2.5,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,13-08-2025 21:33:38,6.8,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,13-08-2025 21:33:16,6.2,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,13-08-2025 21:32:56,0.2,,David,huente.plazaegana@gmail.com
Costanera,COS003,13-08-2025 21:09:03,-23.3,,Nino,huentecostanera@gmail.com
Costanera,COS004,13-08-2025 21:09:00,3.2,,Nino,huentecostanera@gmail.com
Costanera,COS002,13-08-2025 21:08:18,3.2,,Nino,huentecostanera@gmail.com
Costanera,COS001,13-08-2025 21:07:00,9.4,,Nino,huentecostanera@gmail.com
MUT,MUT004,13-08-2025 20:20:40,13.8,,Paula,huente.mut@gmail.com
MUT,MUT003,13-08-2025 20:19:54,0.7,,Paula,huente.mut@gmail.com
MUT,MUT002,13-08-2025 20:19:42,0.3,,Paula,huente.mut@gmail.com
MUT,MUT001,13-08-2025 20:19:30,0.6,,Paula,huente.mut@gmail.com
Esc. Militar,EM005,13-08-2025 19:05:40,5.6,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,13-08-2025 19:03:42,7.8,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,13-08-2025 19:02:47,9.8,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,13-08-2025 18:59:19,21,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,13-08-2025 18:58:02,12.6,,Alejandra,huente.escuelamilitar@gmail.com
Plaza Egaña,EGA004,13-08-2025 18:04:16,2.8,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA003,13-08-2025 18:03:58,6.1,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA002,13-08-2025 18:03:44,5.1,,David,huente.plazaegana@gmail.com
Plaza Egaña,EGA001,13-08-2025 18:03:19,0.4,,David,huente.plazaegana@gmail.com
Costanera,COS001,13-08-2025 17:11:00,5.5,,Nino,huentecostanera@gmail.com
Costanera,COS002,13-08-2025 17:10:00,3.1,,Nino,huentecostanera@gmail.com
Costanera,COS003,13-08-2025 17:10:00,-20.6,,Nino,huentecostanera@gmail.com
Costanera,COS004,13-08-2025 17:10:00,2.1,,Nino,huentecostanera@gmail.com
Esc. Militar,EM005,13-08-2025 16:43:57,7.6,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM004,13-08-2025 16:40:46,8.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM002,13-08-2025 16:37:33,11.5,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM003,13-08-2025 16:36:37,20,,Alejandra,huente.escuelamilitar@gmail.com
Esc. Militar,EM001,13-08-2025 16:34:54,15.2,,Alejandra,huente.escuelamilitar@gmail.com
MUT,MUT004,13-08-2025 15:58:03,19.3,Peligroso,Paula,huente.mut@gmail.com
MUT,MUT003,13-08-2025 15:57:53,0.4,,Paula,huente.mut@gmail.com
MUT,MUT002,13-08-2025 15:57:42,0.3,,Paula,huente.mut@gmail.com
MUT,MUT001,13-08-2025 15:57:29,1,,Paula,huente.mut@gmail.com
