TIPO,NUMERO,FECHA,FECHA VENCIMIENTO,CLIENTE,ORDEN COMPRA,VENDEDOR,DISTRIBUIDOR,SUCURSAL,CENTRO COSTO,PRODUCTO,DESCRIPCION,CANTIDAD,PRECIO UNITARIO,DESCUENTO,NETO,CUENTA,FAMILIA,SEMANA,AÑO
Factura Electrónica,32,01/01/2024,1/1/2024,AMS LOGISTICS SPA,,---,---,Mesa Chilena,Cocina Ciega I,10400,QUESO TROZADO VACIO 500,6,"$10,924.00",0,60084,4101005,\Quesos,,
Factura Electrónica,32,01/01/2024,1/1/2024,AMS LOGISTICS SPA,,---,---,Mesa Chilena,Cocina Ciega I,80101,EMPANADA DE QUESO CRUDA,42,"$1,821.00",135,76471,4101004,\Empanadas,,
Factura Electrónica,32,01/01/2024,1/1/2024,AMS LOGISTICS SPA,,---,---,Mesa Chilena,Cocina Ciega I,7.81E+16,NECTAR PAPAYA 1000 CC,1,"$4,370.00",0,4370,4101007,\Papayas,,
Factura Electrónica,32,01/01/2024,1/1/2024,AMS LOGISTICS SPA,,---,---,Mesa Chilena,Cocina Ciega I,7.81E+16,MERMELADA PAPAYA 440 GR,4,"$4,202.00",0,16807,4101007,\Papayas,,
Factura Electrónica,32,01/01/2024,1/1/2024,AMS LOGISTICS SPA,,---,---,Mesa Chilena,Cocina Ciega I,7.81E+16,PAPAYA AL JUGO 1000 GR,4,"$8,395.00",0,33580,4101007,\Papayas,,
Factura Electrónica,32,01/01/2024,1/1/2024,AMS LOGISTICS SPA,,---,---,Mesa Chilena,Cocina Ciega I,7.81E+16,NECTAR PAPAYA 1000 CC LIGHT,1,"$4,369.00",135,4369,4101007,\Papayas,,
Boleta Electrónica,777,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,1.04E+04,QUESO TROZADO VACIO 500,20,"$4,210.00",16,84200,4101005,\Quesos,,
Boleta Electrónica,777,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,8.01E+04,EMPANADA DE QUESO FRITA,93,"$2,465.00",0,229245,4101004,\Empanadas,,
Boleta Electrónica,777,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.80E+16,BEBIDA GASEOSA,16,"$1,665.00",0,26640,4101006,\Bebidas,,
Boleta Electrónica,777,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.80E+16,BEBIDA AGUA MINERAL,1,$923.00,0,923,4101006,\Bebidas,,
Boleta Electrónica,777,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.81E+16,NECTAR PAPAYA 1000 CC,1,"$3,361.00",135,3361,4101007,\Papayas,,
Boleta Electrónica,777,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.81E+16,NECTAR PAPAYA 1000 CC LIGHT,1,"$3,361.00",135,3361,4101007,\Papayas,,
Boleta Electrónica,777,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.81E+16,MERMELADA PAPAYA 440 GR,2,"$2,940.00",0,5880,4101007,\Papayas,,
Boleta Electrónica,777,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.81E+16,NECTAR PAPAYA 300 CC,18,"$1,470.00",0,26460,4101007,\Papayas,,
Boleta Electrónica,777,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.81E+16,NECTAR PAPAYA 300 CC LIGHT,5,"$1,549.00",0,7745,4101007,\Papayas,,
Boleta Electrónica,778,02/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,10400,QUESO TROZADO VACIO 500,15,"$4,202.00",16,63030,4101005,\Quesos,,
Boleta Electrónica,778,02/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,80100,EMPANADA DE QUESO FRITA,185,"$2,247.00",0,415695,4101004,\Empanadas,,
Boleta Electrónica,778,02/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,80101,EMPANADA DE QUESO CRUDA,39,"$1,681.00",135,65559,4101004,\Empanadas,,
Boleta Electrónica,778,02/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.80E+16,BEBIDA GASEOSA,39,"$1,506.00",0,58734,4101006,\Bebidas,,
Boleta Electrónica,778,02/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.80E+16,BEBIDA AGUA MINERAL,5,$922.00,0,4610,4101006,\Bebidas,,
Boleta Electrónica,778,02/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.81E+16,PAPAYA AL JUGO 1000 GR,1,"$7,144.00",0,7144,4101007,\Papayas,,
Boleta Electrónica,778,02/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.81E+16,NECTAR PAPAYA 1000 CC,1,"$3,362.00",135,3362,4101007,\Papayas,,
Boleta Electrónica,778,02/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.81E+16,NECTAR PAPAYA 1000 CC LIGHT,3,"$3,361.00",135,10083,4101007,\Papayas,,
Boleta Electrónica,778,02/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.81E+16,NECTAR PAPAYA 300 CC,31,"$1,498.00",0,46438,4101007,\Papayas,,
Boleta Electrónica,778,02/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.81E+16,NECTAR PAPAYA 300 CC LIGHT,17,"$1,481.00",0,25177,4101007,\Papayas,,
Boleta Electrónica,811,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,8.01E+04,EMPANADA DE QUESO FRITA,29,"$2,668.00",0,77372,4101004,\Empanadas,,
Boleta Electrónica,811,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,8.01E+04,EMPANADA DE QUESO CRUDA,6,"$1,766.00",135,10596,4101004,\Empanadas,,
Boleta Electrónica,811,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,7.80E+16,BEBIDA GASEOSA,6,"$1,843.00",0,11058,4101006,\Bebidas,,
Boleta Electrónica,811,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,7.81E+16,NECTAR PAPAYA 300 CC,4,"$1,842.00",0,7368,4101007,\Papayas,,
Boleta Electrónica,811,02/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,7.81E+16,NECTAR PAPAYA 300 CC LIGHT,1,"$1,841.00",0,1841,4101007,\Papayas,,
Boleta Electrónica,779,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,80100,EMPANADA DE QUESO FRITA,28,"$2,743.00",0,76804,4101004,\Empanadas,,
Boleta Electrónica,779,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,7.80E+16,BEBIDA GASEOSA,3,"$1,848.00",0,5544,4101006,\Bebidas,,
Boleta Electrónica,779,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,7.81E+16,NECTAR PAPAYA 300 CC,2,"$1,840.00",0,3680,4101007,\Papayas,,
Boleta Electrónica,779,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,7.81E+16,NECTAR PAPAYA 300 CC LIGHT,2,"$1,860.00",0,3720,4101007,\Papayas,,
Boleta Electrónica,780,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,1.04E+04,QUESO TROZADO VACIO 500,22,"$4,277.00",16,94094,4101005,\Quesos,,
Boleta Electrónica,780,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,8.01E+04,EMPANADA DE QUESO FRITA,146,"$2,473.00",0,361058,4101004,\Empanadas,,
Boleta Electrónica,780,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,8.01E+04,EMPANADA DE QUESO CRUDA,60,"$1,682.00",135,100920,4101004,\Empanadas,,
Boleta Electrónica,780,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.80E+16,BEBIDA GASEOSA,21,"$1,528.00",0,32088,4101006,\Bebidas,,
Boleta Electrónica,780,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.80E+16,BEBIDA AGUA MINERAL,1,$923.00,0,923,4101006,\Bebidas,,
Boleta Electrónica,780,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.81E+16,PAPAYA AL JUGO 1000 GR,4,"$7,384.00",0,29536,4101007,\Papayas,,
Boleta Electrónica,780,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.81E+16,NECTAR PAPAYA 1000 CC,2,"$4,369.00",135,8738,4101007,\Papayas,,
Boleta Electrónica,780,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.81E+16,MERMELADA PAPAYA 440 GR,1,"$2,941.00",0,2941,4101007,\Papayas,,
Boleta Electrónica,780,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.81E+16,NECTAR PAPAYA 300 CC,22,"$1,530.00",0,33660,4101007,\Papayas,,
Boleta Electrónica,780,03/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.81E+16,NECTAR PAPAYA 300 CC LIGHT,14,"$1,545.00",0,21630,4101007,\Papayas,,
Boleta Electrónica,781,03/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,1.04E+04,QUESO TROZADO VACIO 500,30,"$4,202.00",16,126060,4101005,\Quesos,,
Boleta Electrónica,781,03/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,80100,EMPANADA DE QUESO FRITA,208,"$2,200.00",0,457600,4101004,\Empanadas,,
Boleta Electrónica,781,03/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,80101,EMPANADA DE QUESO CRUDA,31,"$1,678.00",135,52018,4101004,\Empanadas,,
Boleta Electrónica,781,03/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.80E+16,BEBIDA GASEOSA,64,"$1,497.00",0,95808,4101006,\Bebidas,,
Boleta Electrónica,781,03/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.80E+16,BEBIDA AGUA MINERAL,4,$924.00,0,3696,4101006,\Bebidas,,
Boleta Electrónica,781,03/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.81E+16,PAPAYA AL JUGO 1000 GR,2,"$7,142.00",0,14284,4101007,\Papayas,,
Boleta Electrónica,781,03/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.81E+16,NECTAR PAPAYA 1000 CC,9,"$3,363.00",135,30267,4101007,\Papayas,,
Boleta Electrónica,781,03/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.81E+16,NECTAR PAPAYA 300 CC,50,"$1,484.00",0,74200,4101007,\Papayas,,
Boleta Electrónica,781,03/01/2024,15/1/2024,Cliente Boleta,,---,---,MUT,MUT Tobalaba,7.81E+16,NECTAR PAPAYA 300 CC LIGHT,13,"$1,488.00",0,19344,4101007,\Papayas,,
Boleta Electrónica,782,04/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,1.04E+04,QUESO TROZADO VACIO 500,1,"$5,462.00",16,5462,4101005,\Quesos,,
Boleta Electrónica,782,04/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,8.01E+04,EMPANADA DE QUESO FRITA,11,"$2,720.00",0,29920,4101004,\Empanadas,,
Boleta Electrónica,782,04/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,8.01E+04,EMPANADA DE QUESO CRUDA,6,"$1,766.00",135,10596,4101004,\Empanadas,,
Boleta Electrónica,782,04/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,7.80E+16,BEBIDA GASEOSA,2,"$1,845.00",0,3690,4101006,\Bebidas,,
Boleta Electrónica,782,04/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,7.81E+16,NECTAR PAPAYA 300 CC,1,"$1,842.00",0,1842,4101007,\Papayas,,
Boleta Electrónica,782,04/01/2024,15/1/2024,Cliente Boleta,,---,---,Cocina Ciega I,Cocina Ciega I,7.81E+16,NECTAR PAPAYA 300 CC LIGHT,2,"$2,018.00",0,4036,4101007,\Papayas,,
Boleta Electrónica,783,04/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,10400,QUESO TROZADO VACIO 500,28,"$4,202.00",16,117656,4101005,\Quesos,,
Boleta Electrónica,783,04/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,80100,EMPANADA DE QUESO FRITA,183,"$2,487.00",0,455121,4101004,\Empanadas,,
Boleta Electrónica,783,04/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,80101,EMPANADA DE QUESO CRUDA,54,"$1,681.00",135,90774,4101004,\Empanadas,,
Boleta Electrónica,783,04/01/2024,15/1/2024,Cliente Boleta,,---,---,Food Truck,F.T Esc. Militar,7.80E+16,BEBIDA GASEOSA,28,"$1,582.00",0,44296,4101006,\Bebidas,,
